establishment_name,state,naics_code,inspection_date,year
JFB INC DBA BRYAN'S SUPER MARKET,MI,445110.0,2016-09-07,2016
KENT'S MEATS & GROCERIES,CA,445110.0,2016-09-06,2016
"THE SAVE MART COMPANIES, INC.",CA,445110.0,2016-09-02,2016
GROCERYWORKS.COM OPERATING COMPANY,CA,445110.0,2016-09-02,2016
RALEY'S SUPERMARKET,CA,445110.0,2016-08-31,2016
"MCKINNON'S MARKETPLACE, LLC",NH,445110.0,2016-08-30,2016
"WEGMANS FOOD MARKETS, INC.",NY,445110.0,2016-08-30,2016
"C&K MARKET, INC",CA,445110.0,2016-08-29,2016
RALEY'S STORE 127,CA,445110.0,2016-08-25,2016
SIMTH'S FOOD AND DRUG,UT,445110.0,2016-08-23,2016
BASHAS',AZ,445110.0,2016-08-23,2016
GIANT OF MARYLAND LLC,DE,445110.0,2016-08-19,2016
"HANNAFORD BROS. CO., LLC",NH,445110.0,2016-08-15,2016
"HANNAFORD BROS. CO., LLC",NH,445110.0,2016-08-10,2016
"WINN-DIXIE STORES, INC.",FL,445110.0,2016-08-09,2016
ZAME VENTURES,CA,445110.0,2016-08-04,2016
FOOD CENTER CORPORATION,VI,445110.0,2016-08-05,2016
CASH AND CARRY FRIGORIFICO -ALMACENES SOMOS INC.,PR,445110.0,2016-08-05,2016
ALBERTSON'S,CA,445110.0,2016-02-05,2016
SMART & FINAL STORES LLC,CA,445110.0,2016-08-05,2016
HYVEE,NE,445110.0,2016-08-05,2016
RALEY'S STORE #431,CA,445110.0,2016-08-03,2016
FAMILY FARE #123,MI,445110.0,2016-08-03,2016
"KOREANA PLAZA MARKET SACRAMENTO, INC.",CA,445110.0,2016-08-02,2016
SOMOS SUPER PLAZA PATILLAS INC,PR,445110.0,2016-08-02,2016
PAYLESS FOODS,IA,445110.0,2016-07-20,2016
SUPERVALU INC.,MA,445110.0,2016-07-20,2016
"J & J FOODS, INC ",GA,445110.0,2016-07-19,2016
GIANT EAGLE,MD,445110.0,2016-07-18,2016
"RIO VALLEY, INC.",IL,445110.0,2016-07-12,2016
DOLLAR GENERAL MARKET,CA,445110.0,2016-07-08,2016
"NIEMANN FOODS, INC. ",IL,445110.0,2016-07-08,2016
SPROUTS FARMERS MARKET,MO,445110.0,2016-07-07,2016
WAL MART PUERTO RICO INC,PR,445110.0,2016-07-01,2016
LIPARI FOODS OPERATING COMPANY LLC,MI,445110.0,2016-06-29,2016
MARKETON INC.,NV,445110.0,2016-06-23,2016
SAFEWAY INC,WA,445110.0,2016-06-20,2016
SAS RETAIL SERVICES LLC,CA,445110.0,2016-06-20,2016
NESTOR GONZALEZ MERCADO,PR,445110.0,2016-06-16,2016
SUPERMERCADO MR. SPECIAL INC.,PR,445110.0,2016-06-15,2016
"JONS MARKET PLACE, INC. (STORE #16)",CA,445110.0,2016-06-10,2016
KROGER CO (THE),TN,445110.0,2016-06-09,2016
RALPHS GROCERY COMPANY,IL,445110.0,2016-06-09,2016
WHOLESALE VALUE STORES INC,UT,445110.0,2016-06-02,2016
FAIRWAY MARKET,NJ,445110.0,2016-06-01,2016
SAFEWAY INC.,CA,445110.0,2016-06-01,2016
SAFEWAY INC,WA,445110.0,2016-05-20,2016
CALIFORNIA CUSTOM FRUITS AND FLAVORS INC.,CA,445110.0,2016-05-17,2016
NEXT GENERATION CONTRACTING INC.,NM,445110.0,2016-05-13,2016
VG'S FOOD CENTER,MI,445110.0,2016-05-13,2016
"PARADISE HALAL MEAT, LLC",NJ,445110.0,2016-05-12,2016
SAFEWAY INC,WA,445110.0,2016-05-10,2016
CARROW SUPER MARKET INC,MI,445110.0,2016-05-10,2016
BAY SHORE HALAL MEAT & GROCERY,NY,445110.0,2016-05-05,2016
PUEBLO INC.,PR,445110.0,2016-04-27,2016
"TOPS MARKETS, LLC",NY,445110.0,2016-04-27,2016
BEN'S SUPERCENTER INC,MI,445110.0,2016-04-26,2016
"SUNFLOWER FARMERS MARKETS, LLC",AZ,445110.0,2016-04-25,2016
SUPERVALU HOLDINGS INC,WA,445110.0,2016-04-25,2016
JFB INC DBA BRYAN'S SUPER MARKET,MI,445110.0,2016-04-19,2016
"SUNFLOWER FARMERS MARKETS, LLC",AZ,445110.0,2016-04-19,2016
"PUBLIX SUPER MARKETS, INC. ",FL,445110.0,2016-04-18,2016
KEVIC INC,PR,445110.0,2016-04-15,2016
"FARMERS BEST NORTHLAKE, INC.",IL,445110.0,2016-04-15,2016
MCCUIN & SAGE LLC,AZ,445110.0,2016-04-14,2016
QSI INC,HI,445110.0,2016-04-12,2016
ROSE & ASSOCIATES LLC,WA,445110.0,2016-04-11,2016
UNITED SUPERMARKETS L.L.C.,TX,445110.0,2016-04-07,2016
TRACY GROCERY OUTLET #112,CA,445110.0,2016-04-07,2016
"STOP & SHOP SUPERMARKET, STORE #628",CT,445110.0,2016-04-06,2016
SAFEWAY INC,WA,445110.0,2016-04-06,2016
"LEHIGH FOODS, LLC",FL,445110.0,2016-04-01,2016
MI PUEBLO FOOD CENTER,CA,445110.0,2016-03-30,2016
"JOYA FOOD ENTERPRISES, INC.",CA,445110.0,2016-03-23,2016
ROJEL'S FOODS LLC,PA,445110.0,2016-03-22,2016
CENTRAL SHOP RITE MART OF VASSAR,MI,445110.0,2016-03-21,2016
SELECT STAFFING,VA,445110.0,2016-03-07,2016
WINCO FOODS LLC,WA,445110.0,2016-02-29,2016
WALMART NEIGHBORHOOD MARKET #4759,CA,445110.0,2016-02-23,2016
AHOLD USA INCORPORATED,PA,445110.0,2016-02-22,2016
WINN-DIXIE STORES INC.,FL,445110.0,2016-02-19,2016
VONS DISTRIBUTION CENTER,CA,445110.0,2016-02-18,2016
"PUBLIX SUPER MARKETS, INC.",FL,445110.0,2016-02-17,2016
TOWN & COUNTRY SUPERMARKETS,MO,445110.0,2016-02-11,2016
ZION CITY INC,CA,445110.0,2016-02-11,2016
WAL-MART STORES INC. STORE #1903,CA,445110.0,2016-02-10,2016
PUBLIX SUPER MARKETS STORE #1339,FL,445110.0,2016-02-09,2016
RALPHS FOOD WAREHOUSE INC,PR,445110.0,2016-02-09,2016
DEFENSE COMMISSARY AGENCY; MCCHORD COMMISSARY,WA,445110.0,2016-02-03,2016
DEFENSE COMMISSARY AGENCY; MCCHORD COMMISSARY,WA,445110.0,2016-02-03,2016
"MEGA MARTS, LLC",WI,445110.0,2016-02-03,2016
CREST FOODS,OK,445110.0,2016-02-03,2016
FOOD 4 LESS OF CALIFORNIA INC,CA,445110.0,2016-01-27,2016
"METCALFE MARKETS, INC.",WI,445110.0,2014-07-11,2014
"WAL-MART STORES, INC.  ",HI,445110.0,2014-07-10,2014
SHOPPERS FOOD WAREHOUSE CORP.,MD,445110.0,2014-07-10,2014
SUNFLOWER FARMERS MARKET ,CO,445110.0,2014-07-08,2014
GRACE'S MARKETPLACE NYC,NY,445110.0,2014-06-30,2014
"NEW ALBERTSON'S, INC.",IL,445110.0,2014-06-25,2014
"WINN-DIXIE STORES, INC.",FL,445110.0,2014-06-19,2014
BIMBO BAKERIES USA,MO,445110.0,2014-06-19,2014
"INTERNATIONAL DEHYDRATED FOODS, INC",MO,445110.0,2014-06-18,2014
PRICE CHOPPER,MO,445110.0,2014-06-18,2014
"NEW ALBERTSON'S, INC.",IL,445110.0,2014-06-10,2014
KROGER,OH,445110.0,2014-06-05,2014
SAFEWAY,MT,445110.0,2014-06-02,2014
SUPER STOP AND SHOP,MA,445110.0,2014-05-21,2014
"WINN-DIXIE STORES, INC.",FL,445110.0,2014-05-21,2014
"ALDI, INC.",NJ,445110.0,2014-05-05,2014
"WEGMANS FOOD MARKET, INC.",PA,445110.0,2014-05-05,2014
WALMART,CO,445110.0,2014-04-21,2014
KING SOOPERS STORE # 3,CO,445110.0,2014-04-18,2014
"PRICE CHOPPER OPERATING CO. OF MASSACHUSETTS, INC.",MA,445110.0,2014-04-14,2014
"THE FRESH MARKET, INC.",FL,445110.0,2014-04-10,2014
"GREAT SCOTT, INC.",OH,445110.0,2014-04-07,2014
"JEWEL FOOD STORES, INC.",IL,445110.0,2014-04-03,2014
"WEGMANS FOOD MARKETS, INC.",MA,445110.0,2014-03-07,2014
SAFEWAY INC.,CO,445110.0,2014-02-18,2014
FAIR SHARE FINE FOODS INCORPORATED,IL,445110.0,2014-02-10,2014
"COSMOPOLITAN MARKETPLACE, LLC",IL,445110.0,2014-02-06,2014
HY-VEE INC,KS,445110.0,2014-02-06,2014
KING SOOPERS,CO,445110.0,2014-02-05,2014
DELAUGHTERS GROCERY,TX,445110.0,2014-01-29,2014
ULTRA FOODS,IL,445110.0,2014-01-23,2014
DEFENSE COMISSARY AGENCY-FORT BUCHNAN,PR,445110.0,2014-01-22,2014
DEFENSE COMMISSARY AGENCY,CA,445110.0,2014-01-17,2014
"VICENTE'S LIQUOR & TROPICAL GROCERY, INCORPORATED",MA,445110.0,2014-01-16,2014
BEST MARKET,CT,445110.0,2014-01-15,2014
GRACE'S MARKETPLACE NYC,NY,445110.0,2013-12-30,2013
"DEMOULAS SUPER MARKETS, INC",NH,445110.0,2013-12-30,2013
ROBERTSON RETAIL AND WHOLESALE MEAT CORP.,MA,445110.0,2013-12-30,2013
"MAPLEWOOD MARKETS, INC.",IL,445110.0,2013-12-17,2013
ECLIPSE ADVANTAGE INC.,OH,445110.0,2013-12-10,2013
WALMART NEIGHBORHOOD MARKET,TX,445110.0,2013-12-05,2013
WALMART NEIGHBORHOOD MARKET #5813,GA,445110.0,2013-11-18,2013
DEPT. OF DEFENSE/HARRISON VILLAGE COMMISSARY,IN,445110.0,2013-11-14,2013
TRADER JOE'S,NJ,445110.0,2013-11-13,2013
"COSENTINO ENTERPRISES, INC.",MO,445110.0,2013-11-07,2013
H-E-B,TX,445110.0,2013-11-06,2013
KROGER CO.,TX,445110.0,2013-11-05,2013
WALMART STORE # 2246,NH,445110.0,2013-10-21,2013
RIESBECK FOOD MARKET,OH,445110.0,2013-10-17,2013
KROGER #380,OH,445110.0,2013-10-07,2013
WHOLEFOODS MARKET,CT,445110.0,2013-09-23,2013
PHOENICA SPECIALTY FOOD,TX,445110.0,2013-09-13,2013
BELL'S ORONO IGA,ME,445110.0,2013-09-11,2013
WALMART SUPERCENTER ,GA,445110.0,2013-09-03,2013
SAFEWAY STORE #2714 AND FUEL CENTER,CO,445110.0,2013-08-28,2013
MRS'S GREEN'S NATURAL MARKET,NY,445110.0,2013-08-08,2013
SAVE-A-LOT,OH,445110.0,2013-07-17,2013
STOP AND SHOP SUPERMARKET,MA,445110.0,2013-07-17,2013
"JA LODEN MASONRY, INC.",GA,445110.0,2013-07-16,2013
KROGER COMPANY,OH,445110.0,2013-07-12,2013
"NIEMANN FOODS, INC.",IL,445110.0,2013-07-11,2013
C AND R MARKET,MO,445110.0,2013-07-02,2013
"THE GREAT ATLANTIC & PACIFIC TEA COMPANY, INC.",NY,445110.0,2013-06-21,2013
GIANT FOOD STORE,PA,445110.0,2013-06-20,2013
SAFEWAY,CO,445110.0,2013-06-06,2013
PIGGLY WIGGLY #756,AL,445110.0,2013-05-31,2013
H MART MIDWEST CORP. ,IL,445110.0,2013-05-30,2013
"WEILAND FINE MEATS, INC. ",OH,445110.0,2013-05-29,2013
"J.A. JANES, INC.",OH,445110.0,2013-05-14,2013
"THE GREAT ATLANTIC & PACIFIC TEA COMPANY, INC.",NJ,445110.0,2013-04-22,2013
WAL-MART,OH,445110.0,2013-04-09,2013
PUBLIX,FL,445110.0,2013-03-28,2013
"VITAMIN COTTAGE NATURAL FOODS MARKETS, INC.",CO,445110.0,2013-03-25,2013
UNKNOWN,PA,445110.0,2013-03-21,2013
WAKEFERN FOOD CORP.,NJ,445110.0,2013-03-21,2013
WALMART ASSOCIATES INC.,NE,445110.0,2013-03-20,2013
HEB,TX,445110.0,2013-03-20,2013
RIAGO INCORPORADO,PR,445110.0,2015-08-13,2015
"SUPERMERCADO H. & W., INC",PR,445110.0,2015-08-11,2015
IDYLWILDE FARM,MA,445110.0,2015-08-10,2015
ALBERTSON'S LLC,CA,445110.0,2015-08-07,2015
WAKEFERN FOOD CORPORATION,PA,445110.0,2015-08-07,2015
MARQUEZ & GARCIA INC,PR,445110.0,2015-08-07,2015
SMITH'S FOOD AND DRUG #338,NV,445110.0,2015-08-04,2015
ALBERTSONS HOLDINGS LLC,AZ,445110.0,2015-07-31,2015
ECONO BUCARE,PR,445110.0,2015-07-31,2015
TROPICAL CITY INDUSTRIES INC.,PR,445110.0,2015-07-30,2015
SHOPPERS FOOD AND PHARMACY #2678,VA,445110.0,2015-07-29,2015
BROTHERS MARKET INC.,MA,445110.0,2015-07-28,2015
WALMART,OH,445110.0,2015-07-28,2015
PUBLIX SUPERMARKETS INC.,FL,445110.0,2015-07-24,2015
PUEBLO INC,PR,445110.0,2015-07-24,2015
WALMART PUERTO RICO INC,PR,445110.0,2015-07-24,2015
ANGELI FOODS COMPANY,MI,445110.0,2015-07-20,2015
MEIJER,MI,445110.0,2015-07-17,2015
VONS COMPANY,CA,445110.0,2015-07-15,2015
JA MANA SELECTOS AGUADA INC.,PR,445110.0,2015-07-08,2015
SUPERMERCADO MR.SPECIAL INC,PR,445110.0,2015-07-06,2015
MARTIN'S FOOD MARKET,VA,445110.0,2015-06-30,2015
WAL-MART PUERTO RICO INC.,PR,445110.0,2015-06-26,2015
SUPERMERCADOS MAXIMO INC.,PR,445110.0,2015-06-25,2015
MEDINA & MEDINA INC.,PR,445110.0,2015-06-24,2015
"K-VA-T FOOD STORES, INC.",TN,445110.0,2015-06-24,2015
BURNS & ASSOCIATES,PA,445110.0,2015-06-23,2015
FRED MEYER STORES INC,WA,445110.0,2015-06-23,2015
WALMART STORE 5856,KS,445110.0,2015-06-23,2015
NORTH DANVILLE SUPERMARKETS,VA,445110.0,2015-06-23,2015
"NEW ALBERSONS, INC.",IL,445110.0,2015-06-22,2015
WEIS MARKETS,PA,445110.0,2015-06-18,2015
WHOLE FOODS MARKET CALIFORNIA INC,CA,445110.0,2015-06-17,2015
SUPER AHORRO CITY TOP INC,PR,445110.0,2015-06-16,2015
SUPERMERCADO MORALES INC,PR,445110.0,2015-06-15,2015
WAL-MART PUERTO RICO INC.,PR,445110.0,2015-06-11,2015
SUPERMERCADO MAXIMO INC,PR,445110.0,2015-06-10,2015
SUPER CENTER CONCEPTS INC,CA,445110.0,2015-06-10,2015
"STOP & SHOP COMPANIES, INC., THE ",MA,445110.0,2015-06-10,2015
 ECONO RIAL INC,PR,445110.0,2015-06-10,2015
PIER 1 IMPORTS DISTRIBUTION CENTER,CA,445110.0,2015-06-10,2015
WAL-MART PUERTO RICO INC,PR,445110.0,2015-06-10,2015
PLAZA LOIZA CORP.,PR,445110.0,2015-06-09,2015
"PUBLIX SUPER MARKETS, INC. STORE 259",FL,445110.0,2015-06-09,2015
"SUPERMERCADO FACUNDO, INC",PR,445110.0,2015-06-08,2015
PLAZA LOIZA CORPORATION,PR,445110.0,2015-06-08,2015
INGLES MARKETS INCORPORATED,TN,445110.0,2015-06-08,2015
WAL-MART PUERTO RICO INC.,PR,445110.0,2015-06-08,2015
"SUPERMERCADOS MAXIMO, INC",PR,445110.0,2015-06-08,2015
PLAZA LOIZA CORPORATION,PR,445110.0,2015-06-08,2015
PUEBLO INC.,PR,445110.0,2015-06-08,2015
PLAZA LOIZA CORPORATION,PR,445110.0,2015-06-08,2015
INGLES MARKETS INC,TN,445110.0,2015-06-05,2015
DASH'S SUPERMARKET,NY,445110.0,2015-06-05,2015
NEHRING'S SENDIK'S ON OAKLAND LLC,WI,445110.0,2015-06-04,2015
FAMILY FARE SUPER STORE # 239,MI,445110.0,2015-06-03,2015
"FIESTA MART, INC.",TX,445110.0,2015-06-02,2015
NUGGET MARKET INC.,CA,445110.0,2015-06-02,2015
KING SOLOMON FOODS,NY,445110.0,2015-06-01,2015
"SAFEWAY, INC #1218",CA,445110.0,2015-05-29,2015
FOOD LION #960,DE,445110.0,2015-05-22,2015
UNITED SUPERMARKETS LLC,TX,445110.0,2015-05-22,2015
